entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason
2025-11-24 21:42:00,2025-11-24 22:11:00,SHORT,88387.01,88708.15,-321.1399999999994,Stop Loss
2025-11-24 23:19:00,2025-11-24 23:30:00,SHORT,88920.31,89080.37,-160.05999999999767,Stop Loss
2025-11-25 00:06:00,2025-11-25 00:24:00,LONG,89008.59,88777.35,-231.2399999999907,Stop Loss
2025-11-25 00:25:00,2025-11-25 01:09:00,SHORT,88742.97,88502.45,240.52000000000407,Take Profit
2025-11-25 02:38:00,2025-11-25 03:00:00,LONG,88138.7,87921.46,-217.2399999999907,Stop Loss
2025-11-25 03:01:00,2025-11-25 03:12:00,SHORT,87931.42,88181.29,-249.86999999999534,Stop Loss
2025-11-25 03:19:00,2025-11-25 03:24:00,SHORT,87959.93,88179.27,-219.34000000001106,Stop Loss
2025-11-25 03:30:00,2025-11-25 04:00:00,SHORT,87978.56,87632.46,346.09999999999127,Take Profit
2025-11-25 04:49:00,2025-11-25 05:39:00,LONG,87769.48,87593.3,-176.17999999999302,Stop Loss
2025-11-25 05:58:00,2025-11-25 06:13:00,LONG,87806.6,88063.55,256.9499999999971,Take Profit
2025-11-25 07:12:00,2025-11-25 07:26:00,SHORT,88176.34,87987.82,188.51999999998952,Take Profit
2025-11-25 07:45:00,2025-11-25 08:00:00,LONG,88181.24,88061.34,-119.90000000000873,Stop Loss
2025-11-25 08:59:00,2025-11-25 09:05:00,LONG,87987.19,87845.36,-141.83000000000175,Stop Loss
2025-11-25 09:10:00,2025-11-25 09:24:00,LONG,87954.81,87817.09,-137.72000000000116,Stop Loss
2025-11-25 10:22:00,2025-11-25 10:31:00,LONG,87560.22,87387.21,-173.00999999999476,Stop Loss
2025-11-25 11:42:00,2025-11-25 12:33:00,LONG,86982.88,87270.58,287.6999999999971,Take Profit
2025-11-25 13:24:00,2025-11-25 13:36:00,SHORT,87350.14,87482.8,-132.6600000000035,Stop Loss
2025-11-25 13:55:00,2025-11-25 14:01:00,SHORT,87336.16,87466.59,-130.42999999999302,Stop Loss
2025-11-25 14:03:00,2025-11-25 15:05:00,LONG,87539.12,87370.97,-168.14999999999418,Stop Loss
2025-11-25 15:14:00,2025-11-25 15:36:00,LONG,87587.51,87341.02,-246.4899999999907,Stop Loss
2025-11-25 16:26:00,2025-11-25 16:30:00,LONG,87145.02,86936.74,-208.27999999999884,Stop Loss
2025-11-25 16:39:00,2025-11-25 16:48:00,SHORT,86988.77,86320.77,668.0,Take Profit
2025-11-25 17:28:00,2025-11-25 17:45:00,LONG,86671.71,87280.64,608.929999999993,Take Profit
2025-11-25 18:09:00,2025-11-25 18:19:00,SHORT,86746.54,86995.55,-249.0100000000093,Stop Loss
2025-11-25 18:21:00,2025-11-25 18:45:00,LONG,87221.06,86941.49,-279.56999999999243,Stop Loss
2025-11-25 18:48:00,2025-11-25 19:10:00,SHORT,87019.29,87250.0,-230.7100000000064,Stop Loss
2025-11-25 21:48:00,2025-11-25 22:13:00,LONG,86601.59,87005.56,403.97000000000116,Take Profit
